experiment	item	condition	Type	affixes	plannedProduction	plannedProductionMessage	question1	question1Type	question1Endpoints	design	consent	instructions	woi
phocusTwo	1	1	Non-Alternative	dis/ex	The news about what happened got very distorted. The truth is that he was extorted.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	The news about what happened got very distorted_1 The truth is that he was extorted_2
phocusTwo	1	2	Alternative	dis/ex	You told me the information was distorted. You didn't say that it was extorted.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	You told me the information was distorted_1 You didn't say that it was extorted_2
phocusTwo	1	3	Repetition	dis/ex	You should have told me the information was extorted. You didn't tell me that it was extorted.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	You should have told me the information was extorted_1 You didn't tell me that it was extorted_2
phocusTwo	1	4	Control	dis/ex	You told me about the money. You didn't say that it was extorted.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	You told me about the money_1 You didn't say that it was extorted_2
phocusTwo	2	1	Non-Alternative	con/re	It was a beautiful conceit. They gave her what she wanted and handed her the receipt.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	It was a beautiful conceit_1 They gave her what she wanted and handed her the receipt_2
phocusTwo	2	2	Alternative	con/re	It was a beautiful conceit. Not a beautiful receipt.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	It was a beautiful conceit_1 Not a beautiful receipt_2
phocusTwo	2	3	Repetition	con/re	It was a beautiful receipt. Truly a beautiful receipt.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	It was a beautiful receipt_1 Truly a beautiful receipt_2
phocusTwo	2	4	Control	con/re	It was a great gift. And a beautiful receipt.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	It was a great gift_1 And a beautiful receipt_2
phocusTwo	3	1	Non-Alternative	en/re	The changes were quickly enacted. They had to wait to find out how everyone reacted.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	The changes were quickly enacted_1 They had to wait to find out how everyone reacted_2
phocusTwo	3	2	Alternative	en/re	I'm not sure that you really meant 'reacted'. You probably meant 'enacted'.	Please read carefully, and when you record,<br> say the utterance as naturally as possible.	Please rate how acceptable you found this sentence! 	LikertKey	['completely unacceptable','completely acceptable']	LatinSquare	../../../consentForms/consent_production_prolific_en.md	instructions.md	I'm not sure that you really meant 'reacted'_1 You probably meant 'enacted'_2
