experiment	session	item	condition	StimulusType	Type	contextFile	question1	question1Type	question1EndPoints	design	instructions
williamsPractice	1	1	1	Willliams	Bad	W18B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliamsP.md"
williamsPractice	1	1	2	Willliams	Good	W18G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliamsP.md"
williamsPractice	1	2	1	Willliams	Bad	W20B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliamsP.md"
williamsPractice	1	2	2	Willliams	Good	W20G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliamsP.md"
williams	2	1	1	Willliams	Bad	W1B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	1	2	Willliams	Good	W1G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	1	3	Willliams	Identical	W1I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	2	1	Willliams	Bad	W2B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	2	2	Willliams	Good	W2G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	2	3	Willliams	Identical	W2I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	3	1	Willliams	Bad	W3B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	3	2	Willliams	Good	W3G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	3	3	Willliams	Identical	W3I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	4	1	Willliams	Bad	W4B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	4	2	Willliams	Good	W4G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	4	3	Willliams	Identical	W4I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	5	1	Willliams	Bad	W5B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	5	2	Willliams	Good	W5G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	5	3	Willliams	Identical	W5I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	6	1	Willliams	Bad	W6B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	6	2	Willliams	Good	W6G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	6	3	Willliams	Identical	W6I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	7	1	Willliams	Bad	W7B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	7	2	Willliams	Good	W7G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	7	3	Willliams	Identical	W7I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	8	1	Willliams	Bad	W8B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	8	2	Willliams	Good	W8G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	8	3	Willliams	Identical	W8I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	9	1	Willliams	Bad	W9B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	9	2	Willliams	Good	W9G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	9	3	Willliams	Identical	W9I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	10	1	Willliams	Bad	W10B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	10	2	Willliams	Good	W10G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	10	3	Willliams	Identical	W10I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	11	1	Willliams	Bad	W11B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	11	2	Willliams	Good	W11G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	11	3	Willliams	Identical	W11I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	1	Willliams	Bad	W12B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	2	Willliams	Good	W12G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	12	3	Willliams	Identical	W12I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	1	Willliams	Bad	W13B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	2	Willliams	Good	W13G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	13	3	Willliams	Identical	W13I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	1	Willliams	Bad	W14B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	2	Willliams	Good	W14G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	14	3	Willliams	Identical	W14I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	1	Willliams	Bad	W15B.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	2	Willliams	Good	W15G.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
williams	2	15	3	Willliams	Identical	W15I.mp3	### How natural did you find this utterance?	Slider	['very unnatural','very natural']	LatinSquare	"instructionsWilliams.md"
rhymePractice	3	1	1	Rhyme	Bad	R16B.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
rhymePractice	3	1	2	Rhyme	Good	R16G.mp3	### How good did you find this rhyme? 	Slider	['very poor rhyme','very good rhyme']	LatinSquare	"instructionsRhymeP.md"
