language	en	fr	ja	ko	es	pt	de	nl	zh-cn	fa	lt	twi	nw	tgl
thankyou	Thank you!	Merci !	ありがとうございました！		¡Gracias!	Obrigado!	Vielen Dank!	Dankuwel!	谢谢	با تشکر	Ačiū!	Medaase!	Takk skal du ha!	Salamat!
fullScreen	<p><br><br> <em>Please click the button below to enter full screen mode and start with the experiment</em></p>	<p> <br> <br> <em> Veuillez cliquer sur le bouton ci-dessous pour passer en mode plein écran et débuter l'expérience </em> </p> 	<p> <br> <br> <em>フルスクリーン表示を可能し、実験を開始するために、以下のボタンを押してください。\n      </ em> </ p> 	<p> <br> <br> <em> 아래 버튼을 클릭하십시오전체 화면 모드로 들어가서 실험으로 시작 </ em> </ p>	<p> <br> <br> <em> Haga clic en el botón abajopara ingresar al modo de pantalla completa y empezar con el experimento </em> </p> 	<p> <br> <br> <em> Clique no botão abaixo para entrar no modo de tela cheia e iniciar o experimento </em> </p>	<p> <br> <br> <em> Bitte klicken um in den Vollbildmodus zu wechseln und mit dem Experiment zu beginnen! </ em> </ p> 	<p><br><br> <em>Klik op de onderstaande knop om volledig scherm te openen and het experiment te beginnen</em></p>	<p> <br> <br> <em>请点击下面的按钮进入全屏模式并开始实验</ em> </ p>	<p><br><br> <em>لطفاً روی دکمه زیر کلیک کنید تا وارد حالت تمام صفحه شوید و آزمایش را شروع کنید</em></p>	<p><br><br> <em>Paspauskite mygtuką apačioje paleisti viso ekrano režimą ir pradėti eksperimentą</em></p>	<p><br><br> <em>Please click the button below to enter full screen mode and start with the experiment</em></p>	<p><br><br> <em>Vennligst klikk knappen nedenfor for å gå inn i fullskjermmodus og starte eksperimentet</em></p>	<p><br><br> <em>Paki-click ang button sa ibaba upang pumasok sa full screen mode at magsimula sa eksperimento</em></p>
continueButton	Continue	Continuer	次へ	계속	Continuar	Continuar	Weiter	Volgende	继续	ادامه دهید	Tęsti toliau	Toa so	Fortsett	Magpatuloy
completionCode	Completion code	Code d'exécution	参加者コード				CompletionCode	Voltooiingscode	完成码	کد تکمیل	Užbaigimo kodas	Completion code	Fullføringskode	Code ng pagkumpleto
connectHeadphones	Please connect your headphones and adjust the volume please!	Veuillez brancher vos écouteurs et régler le volume !	ヘッドホンを接続して、音量を調節してください。	헤드폰을 연결하고 볼륨을 조정하십시오!	¡Conecte sus audífonos y ajuste el volumen, por favor!	Por favor, conecte seus fones de ouvido e ajuste o volume!	Bitte Kopfhörer benutzen und Lautstärke einstellen!	Steek de koptelefoon in and pas het volume aan!	请连接耳机并调节音量！	لطفا هدفون خود را وصل کنید و ولوم صدا را تنظیم کنید!	Prijunkite savo ausines ir nustatykite garso lygį	Please connect your headphones and adjust the volume please!	Vennligst koble til høretelefoner og juster volumet!	Mangyaring ikonekta ang iyong mga headphone at ayusin ang volume mangyaring!
playSound	Play a sound	Écouter l'enregistrement	音を再生する。		Reproducir sonido	Reproduzir o áudio	Aufnahme abspielen	Geluid afspelen	播放声音	پخش صدا	Groti garsą	Play a sound	Spill av en lyd	Magpatugtog ng tunog
playAgain	Play again	Réécouter l'enregistrement	もう一度音をきく。	다시 소리 재생	Reproducir sonido de nuevo	Reproduzir o áudio novamente	Aufnahme noch mal abspielen	Geluid opnieuw afspelen	再次播放声音	پخش مجدد صدا	Pakartoti garsą	Bɔ bio	Spill av igjen	Maglaro ulit
proceed	Proceed to question	Aller à la question	問題に進む				Weiter zur Frage	Ga naar vraag	开始回答问题	به سوال ها بروید	Pereiti prie klausymų	Kɔ asɛmmisa no so	Gå videre til spørsmål	Magpatuloy sa pagtatanong
adjustVolume	Adjust volume if necessary	Veuillez ajuster le volume si nécessaire	必要であれば音量を調節してください。	필요한 경우 볼륨 조정	Ajuste el volumen si es necesario	Ajuste o volume se necessário	Lautstärke bei Bedarf bitte anpassen	Pas het volume aan indien nodig	如需要请调节音量	در صورت لزوم ولوم صدا را تنظیم کنید	Nustatykite garso lygį jei reikalinga	Adjust volume if necessary	Justér volumet om nødvendig	Ayusin ang volume kung kinakailangan
soundCheckOk	I can hear the sound at a comfortable volume	J'entends bien le son et le volume est agréable	ちょうどいい音量で音がきこえます。	편안한 볼륨으로 소리를들을 수 있습니다	Puedo escuchar el sonido a un volumen cómodo	Consigo ouvir o som em um volume confortável	Die Lautstärke ist angenehm	Ik hoor het geluid op een comfortabel volume	我可以听到声音且音量适中	صدا را با ولوم مناسبی می شنوم.	Aš girdžiu patogaus lygio garsą	I can hear the sound at a comfortable volume	Jeg kan høre lyden på et komfortabelt volumnivå	Naririnig ko ang tunog sa komportableng volume
